TIME,THROTTLE,ROLL,PITCH,YAW, MODE,PHI,THETA,PSI,SP,SQ,SR,SAX, SAY,SAZ,MOTOR 0,MOTOR 1,MOTOR 2,MOTOR 3,CYCLE TIME,RESPONSE TIME, FILTERED_SR
879208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2441539,0,0,0,0,0,1391,-1988,332,-7,7,9,-4272,3200,16024,0,0,0,0,0,7228,0,
4035311,0,0,0,0,0,1738,-2502,637,-17,3,8,-4272,3208,16138,0,0,0,0,0,7228,0,
5632095,0,0,0,0,0,1839,-2643,900,-16,3,8,-4260,3228,16080,0,0,0,0,3328,7228,0,
7224895,0,0,0,0,0,1968,-2716,1157,-12,4,8,-4322,3356,16084,0,0,0,0,0,7228,0,
9068555,0,0,0,0,0,1984,-2725,1225,-16,5,10,-4324,3372,15904,0,0,0,0,0,997,0,
10662446,0,0,0,0,0,1984,-2725,1225,-16,6,7,-4248,3392,16116,0,0,0,0,0,997,0,
12256432,0,0,0,0,0,1984,-2725,1225,-16,7,11,-4380,3432,16112,0,0,0,0,0,997,0,
13850537,0,0,0,0,0,1984,-2725,1225,-15,2,11,-4400,3408,15996,0,0,0,0,0,997,0,
15444152,0,0,0,0,0,1984,-2725,1225,-16,6,8,-4256,3400,16028,0,0,0,0,0,997,0,
17038413,0,0,0,0,0,1984,-2725,1225,-16,3,11,-4312,3340,16008,0,0,0,0,0,997,0,
18632456,0,0,0,0,0,1984,-2725,1225,-15,4,7,-4388,3368,16000,0,0,0,0,0,997,0,
20227186,0,0,0,0,0,1984,-2725,1225,-18,6,9,-4228,3472,16164,0,0,0,0,512,997,0,
21820725,0,0,0,0,0,1984,-2725,1225,-15,6,10,-4320,3416,16264,0,0,0,0,0,997,0,
23415156,0,0,0,0,0,1984,-2725,1225,-16,4,8,-4324,3432,16120,0,0,0,0,0,997,0,
25009381,0,0,0,0,0,1984,-2725,1225,-17,6,11,-4284,3432,16140,0,0,0,0,768,997,0,
26603215,0,0,0,0,0,1984,-2725,1225,-16,4,9,-4380,3420,16100,0,0,0,0,0,997,0,
28197683,0,0,0,0,0,1984,-2725,1225,-14,5,10,-4376,3452,16004,0,0,0,0,0,997,0,
29791302,0,0,0,0,0,1984,-2725,1225,-15,4,7,-4256,3388,16028,0,0,0,0,0,997,0,
31385936,0,0,0,0,0,1984,-2725,1225,-16,5,10,-4192,3472,16084,0,0,0,0,0,997,0,
33728205,0,0,0,0,0,1245,-1687,238,-17,3,8,-4328,3412,16054,0,0,0,0,0,8523,0,
35322124,0,0,0,0,0,1771,-2438,572,-16,3,8,-4352,3418,16032,0,0,0,0,0,8523,0,
36917143,0,0,0,0,0,1928,-2649,850,-16,3,9,-4318,3440,16060,0,0,0,0,0,8523,0,
38513720,0,0,0,0,0,1978,-2710,1108,-16,3,8,-4334,3420,16052,0,0,0,0,3328,8523,0,
40104905,0,0,0,0,0,1990,-2725,1355,-16,2,8,-4316,3412,16096,0,0,0,0,0,8523,0,
41699248,0,0,0,0,0,1995,-2726,1601,-16,3,9,-4332,3426,16046,0,0,0,0,0,8523,0,
43296023,0,0,0,0,0,1999,-2729,1847,-16,3,8,-4340,3400,16032,0,0,0,0,3840,8523,0,
44887008,0,0,0,0,0,1996,-2729,2091,-16,3,9,-4346,3430,16034,0,0,0,0,0,8523,0,
46481939,0,0,0,0,0,1995,-2730,2335,-16,3,8,-4310,3412,16064,0,0,0,0,0,8523,0,
48079036,0,0,0,0,0,2118,-2703,2373,-2,-1,-1,-4318,3418,16062,0,0,0,0,3328,8523,0,
49670914,0,0,0,0,0,2156,-2693,2385,-3,-1,-1,-4332,3432,16046,0,0,0,0,0,8523,0,
51265506,0,0,0,0,0,2166,-2689,2389,-2,-2,0,-4312,3402,16052,0,0,0,0,0,8523,0,
52862338,0,0,0,0,0,2169,-2689,2390,-2,-2,0,-4350,3414,16048,0,0,0,0,3584,8523,0,
54453839,0,0,0,0,0,2174,-2690,2395,0,0,0,-4344,3400,16074,0,0,0,0,0,8523,0,
56048781,0,0,0,0,0,2184,-2690,2398,-1,-1,-1,-4344,3412,16058,0,0,0,0,0,8523,0,
57644568,0,0,0,0,0,2187,-2692,2398,0,0,-1,-4314,3436,16054,0,0,0,0,3328,8523,0,
